Name;spectrum_20140711_1722139,csv;spectrum_20140711_1722141,csv;;;;;;;;;;;;;;;;
Time;20140711_1722139;20140711_1722141;;;;Configuración 1;Tolerancia;0,08;;;;;Configuración 2;Tolerancia;0,08;;;
507,71;0,5679484;0,034554448;;;;;;;;;;;;;;;;
508,18;0,5771922;0,034871265;;;;;;;;;;;;;;;;
508,64;0,57134116;0,034715053;;;;;;;;;;;;;;;;
509,11;0,5615209;0,03427426;;;;;;;;;;;;;;;;
509,58;0,55515736;0,033780187;;;;;;;;;;;;;;;;
510,04;0,55685043;0,033650875;;;;;;;;;;;;;;;;
510,51;0,5666098;0,034336515;;;;;;;;;;;;;;;;
510,98;0,56626266;0,034372855;;;;;;;;;;;;;;;;
511,45;0,5636599;0,034237925;;;;;;;;;;;;;;;;
511,91;0,5689486;0,034689967;;;;;;;;;;;;;;;;
512,38;0,5766736;0,035269663;;;;;;;;;;;;;;;;
512,85;0,57700235;0,03526804;;;;;;;;;;;;;;;;
513,31;0,5764989;0,034476027;;;;;;;;;;;;;;;;
513,78;0,5804835;0,03498802;;;;;;;;;;;;;;;;
514,25;0,58032256;0,035432912;;;;;;;;;;;;;;;;
514,72;0,58187616;0,035624187;;;;;;;;;;;;;;;;
515,18;0,5887176;0,036013126;;;;;;;;;;;;;;;;
515,65;0,598626;0,036680758;;;;;;;;;;;;;;;;
516,12;0,5853914;0,03572593;;;;;;;;;;;;;;;;
516,59;0,59405893;0,036131226;;;;;;;;;;;;;;;;
517,05;0,6054278;0,03707577;;;;;;;;;;;;;;;;
517,52;0,5844429;0,03557266;;;;;;;;;;;;;;;;
517,99;0,5579242;0,03387121;;;;;;;;;;;;;;;;
518,46;0,5484397;0,033265702;;;;;;;;;;;;;;;;
518,93;0,55760956;0,0339302;;;;;;;;;;;;;;;;
519,39;0,54773337;0,033271242;;;;;;;;;;;;;;;;
519,86;0,54786134;0,03352608;;;;;;;;;;;;;;;;
520,33;0,553628;0,034065116;;;;;;;;;;;;;;;;
520,8;0,56628984;0,034784056;;;;;;;;;;;;;;;;
521,27;0,5679533;0,03452642;;;;;;;;;;;;;;;;
521,73;0,5652323;0,034301218;;;;;;;;;;;;;;;;
522,2;0,57166445;0,034733035;;;;;;;;;;;;;;;;
522,67;0,5739432;0,035375472;;;;;;;;;;;;;;;;
523,14;0,56907004;0,034880575;;;;;;;;;;;;;;;;
523,61;0,5676865;0,034666695;;;;;;;;;;;;;;;;
524,07;0,56927747;0,034811843;;;;;;;;;;;;;;;;
524,54;0,57694334;0,03512538;;;;;;;;;;;;;;;;
525,01;0,5815345;0,035634406;;;;;;;;;;;;;;;;
